Sat Feb 01 01:30:03 +0000 2025,Ep. 425 - TARIFF Turmoil — How I'm Going to PROFIT From It.. TODAY'S HOT #STOCKS — $CVX $PLTR $ABBV $TCTM $HIMS $OXY $XOM $ASTS $ELF $RGTI $BHAT $NVDA $VRTX $BEN $CYCN $SOPA $JNJ $VIAV $MTSR $REBN $ABAT $FCUV $AAPL $NVDA $TSLA $SMR $BABA $SOFI $CYN,TSLA,Tesla
Sat Feb 01 18:12:17 +0000 2025,"Based on rumors from China weeks before the earnings call, Elon isn't exaggerating when he says they're aiming for 10,000 robots in 2025 and 100,000 in 2026 Tesla actually set up its supply chain for the 10,000 Humanoid Robots per month More details below $TSLA",TSLA,Tesla
Sat Feb 01 23:34:43 +0000 2025,"$TSLA the most impactful stock for this decade for us out of 12 plans for options we have had 10 wins 1 loss and one breakeven this was a small win but a great way to end the month really keeping our great gains from the start of dec to the end of jan, but this wining plan was",TSLA,Tesla
Sat Feb 01 08:22:29 +0000 2025,$TSLA was looking good Friday then gave most up. Holding the 50 day under the ⚓️VWAP from previous pivot.,TSLA,Tesla
Sat Feb 01 02:45:49 +0000 2025,Thank you to subscribers from 41 US states and 55 countries to encourage me keep writing. Thank you @SubstackInc $SPY $QQQ ES_F NQ_F $VIX $AAPL $TSLA $COIN $BTCUSD $RGTI,TSLA,Tesla
Sat Feb 01 02:38:35 +0000 2025,Here are all the PTs from this week $TSLA,TSLA,Tesla
Sat Feb 01 05:37:31 +0000 2025,$TSLA NEWS: Tesla Cuts Lease Start Price For Cybertruck From $899 To $749!,TSLA,Tesla
Sat Feb 01 17:10:00 +0000 2025,"Options account increased by $60,553 in JANUARY Realized income from Premiums from CLOSED trades: $25,191 Total realized income (including Capital Gains) $13,905 $TSLA $NVDA $AMZN $AMD $GOOGL $ZS $MDB $GTLB $MU $META $COIN $MSTR $AVGO $CMG $MSTX $AAPL $PLTR",TSLA,Tesla
Sat Feb 01 01:21:13 +0000 2025,The unique rear light from Tesla is insane!!! No need for logos!! $tsla,TSLA,Tesla
Sat Feb 01 10:49:56 +0000 2025,"I am more focused on buying alts here than #Bitcoin, most alts will pull minimum x20 from here and $INX #INX is one of those alts, other #RWAs on @INX_Group are $FURA $TSLA $GME $NVDA $GOOGL $NOTE #HAG #TRUCPAL",TSLA,Tesla
Sat Feb 01 01:43:25 +0000 2025,$TSLA looking like it may be turning the old all time high into support,TSLA,Tesla
Sat Feb 01 13:02:01 +0000 2025,Why did Musk purposefully fabricate this claim??? The pattern of deceit should scare the pants off of shareholders and regulators alike (why he pushes for less) $TSLA in BIG trouble. He needs to resign from everything $QQQ $NVDA $NITE $UPS $VIAV $ASTS $TEAM $SPX $RUT,TSLA,Tesla
Sat Feb 01 09:55:54 +0000 2025,New Tesla Model Y. I like it more and more every day. Did you like it from the beginning? $TSLA,TSLA,Tesla
Sat Feb 01 14:10:25 +0000 2025,$TSLA in Europe from Giga Berlin there is no Tesla stamp on the front,TSLA,Tesla
Sat Feb 01 18:15:20 +0000 2025,Cybertruck Just Got More Affordable! Lease from just $749/month FREE wrap with Foundation Series purchase Drive the future in style! ⚡ $TSLA,TSLA,Tesla
Sat Feb 01 17:27:06 +0000 2025,$TSLA The test drive of the new model Y in China is expected from the end of February.,TSLA,Tesla
Sat Feb 01 23:11:19 +0000 2025,Trading stats from today's session: $AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU,TSLA,Tesla
Sat Feb 01 00:19:01 +0000 2025,"New accounting rules have allowed Tesla to report a $600M gain from Bitcoin, while MicroStrategy faces a potential multi-billion dollar tax hit. The impact of these changes on crypto holdings is significant for publicly-traded companies. $TSLA $MSTR",TSLA,Tesla
Sat Feb 01 16:08:34 +0000 2025,"January Trade Recap: Volatility made trading tough, and the market setup took a hit from Deepseek &amp; tariff news. Historically, Feb &amp; Sept are tricky, but let’s stay focused and nail the best setups! #Trading #DeepSeek $spy $qqq $iwm $nvda $pltr $amd $tsla $deck $nflx",TSLA,Tesla
Sat Feb 01 17:00:00 +0000 2025,"When you lose, figure out why, and learn from it! #stockmarket #daytrading #livetrading #tradingstrategy $SPY $TSLA $AAPL $NVDA $AMZN",TSLA,Tesla
Sat Feb 01 16:30:27 +0000 2025,BREAKING: ARGUS RAISES $TSLA PRICE TARGET TO $488 (FROM $286) Huge upgrade !,TSLA,Tesla
Sat Feb 01 16:36:51 +0000 2025,BREAKING: CANTOR FITZGERALD RAISES $TSLA PRICE TARGET TO $425 (FROM $365) They are bullish on autonomy !,TSLA,Tesla
Sat Feb 01 16:38:29 +0000 2025,"BREAKING: LONG TIME BEAR, CRAIG IRWIN, RAISES $TSLA PRICE TARGET TO $450 (FROM $380) He’s now extremely bullish on autonomy !",TSLA,Tesla
Sat Feb 01 09:13:05 +0000 2025,how can i send my USDT From Okx wallet to binance exchange? $pegy $AAPL #USDT $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $SOFI $MSFT $AAPL $TSLA $SPCE $UTHR $IN #Bitcoin #Crypto,TSLA,Tesla
Sat Feb 01 12:14:15 +0000 2025,The Cybercab charging stations will not look like consumer supercharger stations. It will be inside of a building to protect the niche cleaning robots from the elements. Maybe at scale it makes sense to have these cleaning robots. $TSLA,TSLA,Tesla
Sat Feb 01 22:25:13 +0000 2025,Trading stats from today's session: $AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU,TSLA,Tesla
Sat Feb 01 21:06:47 +0000 2025,"$TSLA is setting up for a potential breakout from its descending channel on the daily chart, and if it happens, we could see a strong trend-based move. The volume in the last 2 sessions is telling us something.",TSLA,Tesla
Sat Feb 01 15:04:13 +0000 2025,"$TSLA s EU sales are collapsing this Qtr. If the EU and UK were smart, they would take this opportunity to impose massive tariffs on all $TSLA vehicles and products imported from China and the US. Canada, Australia and Mexico need to do the same. @UKParliament",TSLA,Tesla
Sat Feb 01 03:31:55 +0000 2025,"No setups on my WL other than $TSLA IF we see a gap up in the wick and daily up from there. However the odds of that is low seeing how the indices close, looks like a gap down possible on the indices. As usual, have to plan for all scenarios and act upon them if materializes.",TSLA,Tesla
Sat Feb 01 09:10:09 +0000 2025,It is very unlikely that if the autonomous Tesla robotaxis are rolled-out as planned in Austin from June and then gradually in the entire USA that the Tesla share will not reach at least 500 dollars in 2025. $tsla,TSLA,Tesla
Sun Feb 02 15:55:53 +0000 2025,"$TSLA a great way to win to end things off grinding with skill with the feb 07 420 calls. from the start of dec to then end of Jan this win ended the month strong for us keeping are great gains without a loss ,this Video explains the importance of grinding with skill to always",TSLA,Tesla
Sun Feb 02 01:47:15 +0000 2025,"The Tesla cybertruck is a rust bucket not fit for Canadian roads in the winter. Ban these unsafe $TSLA vehicles from Canada now! If they're not rusting in the rain, snow, or even the car wash, they're catching fire charging in your garage and burning your house down",TSLA,Tesla
Sun Feb 02 11:13:23 +0000 2025,"OK, the flu got me down, but I finally managed to put together a quick clip from my visit to the Tesla Luxembourg showroom, where the New Model Y was on display. Hope you like it! ⚡ #Tesla #ModelY #Luxembourg $tsla @DJIGlobal #OSMO #djimini4 @BeardedTesla @niccruzpatane",TSLA,Tesla
Sun Feb 02 22:51:00 +0000 2025,Interested here in potential trade on $NQ | $ES open. Been going over tickers all day and with tariff news seems like lower. $AAPL clear rejection from previous $245-247 level. $NVDA re break low and 200D. $TSLA below 50D. Clear higher lows $QQQ as well. Short pop scenario?,TSLA,Tesla
Sun Feb 02 20:45:52 +0000 2025,"So $TSLA is almost never my TotD because of its status as a meme stock. Meme stocks are so volatile that they almost always violate my rule about only posting trades I have 90+% confidence in. That said, I do from time to time ALLUDE to other, more perilous trades for those who",TSLA,Tesla
Sun Feb 02 04:26:56 +0000 2025,BIG NEWS! $TSLA $NVDA $SPY In 2025 I am doing a 10k to 100k Fibonacci Challenge Mixture of STOCKS and Futures -&gt; I will also do a small account challenge from 1k to 10k (STARTED) Mixture of 618 and 786 Fibonacci to Measured Moves and AUTOMATION + Candlesticks! Everything will,TSLA,Tesla
Sun Feb 02 18:53:15 +0000 2025,These tariffs will be devastating to Tesla. They may never financially recover from this. Everyone should sell their $TSLA shares to me immediately ahead of the launch of the Tesla driverless ride share service in Austin. (not financial advice),TSLA,Tesla
Sun Feb 02 19:03:19 +0000 2025,"Based on @troyteslike ‘s estimates, approximately 18% of $TSLA ‘s 2024 deliveries (323K of 1,789K) were imported from outside the country of final demand. That is the volume at risk if Trump’s tariffs develop into a full scale retaliatory trade war similar to what happened",TSLA,Tesla
Sun Feb 02 09:00:51 +0000 2025,how can i send my USDT From Okx wallet to binance exchange? $pegy $AAPL #USDT $COIN $AMZN $MDWD $PLTR $MSFT $UP $KOSS $ANVS $META $DXYZ $ZONE $TSLA $NVDA $GME $DJT $MULN $QQQ $SPY $DIA $QQQ $IWM $AMZN $SOFI $MSFT $AAPL $TSLA $SPCE $UTHR $IN #Bitcoin #cryptomarket,TSLA,Tesla
